postcode_2016,Outer Regional Australia,Remote Australia,Very Remote Australia,Major Cities of Australia,Inner Regional Australia,ra_code,ra,ra_digit2,irsad_score_weighted,irsd_score_weighted,economic_score_weighted,education_score_weighted,irsad_decile_weighted,irsd_decile_weighted,economic_decile_weighted,education_decile_weighted,irsd_score_average,irsad_score_average,economic_score_average,education_score_average,irsd_decile_average,irsad_decile_average,economic_decile_average,education_decile_average
3922,0,0,0,0,99.87,21,Inner Regional Australia,1,951.562665774346,973.5362015551862,974.1989608247688,951.562665774346,3.6071176150969473,3.9292906129257275,4.236835854553211,3.6071176150969473,981.0555555555555,961.7222222222222,980.5,986.8888888888889,4.277777777777778,3.9444444444444446,4.5,5
3923,0,0,0,0,99.46,21,Inner Regional Australia,1,980.7432622770805,1019.555461248223,1011.0152020188104,980.7432622770805,4.442341934295711,5.342261295126442,5.347604305049814,4.442341934295711,1033.4,1010.8,1026.8,1022.8,6.2,5.6,6.2,6.2
3925,0,0,0,0,99.52,21,Inner Regional Australia,1,991.2027168445226,1016.5002258682462,999.484240038666,991.2027168445226,4.966498528142425,5.5216222784407005,5.14685928218837,4.966498528142425,1011.9,989.5,1004.8,1015.8,5.181818181818182,4.818181818181818,5.2727272727272725,6
3926,0,0,0,53.35,46.63,20,Major Cities of Australia,0,1064.4776082305268,1076.9808335532284,1064.9637441222087,1064.4776082305268,7.826045018780586,8.281087010495732,7.846044486751092,7.826045018780586,1080.111111111111,1072,1071.2222222222222,1091.888888888889,8.444444444444445,8.11111111111111,8.11111111111111,8.444444444444445
3927,0,0,0,99.96,0,20,Major Cities of Australia,0,1064.6939410155053,1071.719911001909,1055.9614186339613,1064.6939410155053,7.830952145866496,8.02011716337094,7.619571704973206,7.830952145866496,1091.5,1075.6666666666667,1050.6666666666667,1093.8333333333333,8.5,8.166666666666666,7.333333333333333,8.5
3928,0,0,0,47.71,52.29,21,Inner Regional Australia,1,1104.0528050460441,1105.3154231566482,1121.5259886809426,1104.0528050460441,8.970788378917817,9.549418387039106,9.560303692297643,8.970788378917817,1088.5,1078.5,1096.75,1081.375,8.222222222222221,7.555555555555555,8.222222222222221,7.444444444444445
3929,0,0,0,0,99.88,21,Inner Regional Australia,1,1101.5762090717064,1103.2966205170667,1078.6769229924766,1101.5762090717064,8.919474910840146,9.297264795482386,8.000074636626106,8.919474910840146,1094.3333333333333,1091,1092,1107.6666666666667,9,8.5,8.5,8.833333333333334
3930,0,0,0,99.86,0,20,Major Cities of Australia,0,1120.445158497311,1110.028091452253,1126.164308034623,1120.445158497311,9.284846932405053,9.431933964038318,9.122334283531467,9.284846932405053,1103.3076923076924,1110.5961538461538,1117.0384615384614,1106.673076923077,9.134615384615385,8.961538461538462,8.884615384615385,8.73076923076923
3931,0,0,0,99.84,0,20,Major Cities of Australia,0,1005.7726362000478,1021.7837926503282,1008.6738349812205,1005.7726362000478,5.5527379472041964,5.977624576719428,5.4772436047092485,5.5527379472041964,1020.3898305084746,1005.6610169491526,1007.7118644067797,1019.2203389830509,5.967741935483871,5.580645161290323,5.516129032258065,6.241935483870968
3933,0,0,0,100,0,20,Major Cities of Australia,0,1092.0770079284523,1098.2925571582457,1146.4394907639676,1092.0770079284523,8.788008784605864,8.994227910559122,9.994209556945338,8.788008784605864,1075.1,1063.7,1106.1,1033.8,8.1,7.7,9,6.7
