id,post,Outer Regional Australia,Remote Australia,Very Remote Australia,Major Cities of Australia,Inner Regional Australia,ra_code,ra,sa1_mean_decile,mean_sa2_decile
401,3220,0,0,0,99.8,0,20,Major Cities of Australia,7.125,6
402,3630,0,0,0,0,100,21,Inner Regional Australia,3.488372093023256,3.3333333333333335
403,3072,0,0,0,100,0,20,Major Cities of Australia,4.549450549450549,5
404,3012,0,0,0,100,0,20,Major Cities of Australia,4.98936170212766,5
405,6053,0,0,0,99.98,0,50,Major Cities of Australia,6.037735849056604,5.75
406,5201,0,0,0,0,100,41,Inner Regional Australia,7.5,7.5
407,6164,0,0,0,100,0,50,Major Cities of Australia,7.063380281690141,8
408,3196,0,0,0,99.91,0,20,Major Cities of Australia,6.768115942028985,7.333333333333333
409,2259,0,0,0,36.84,63.11,11,Inner Regional Australia,4.34,4.5625
410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,7000,0,0,0,0,99.86,61,Inner Regional Australia,6.5,7
412,2297,0,0,0,100,0,10,Major Cities of Australia,4.181818181818182,4
413,4218,0,0,0,99.98,0,30,Major Cities of Australia,6.625,7
414,2250,0,0,0,18.76,81.21,11,Inner Regional Australia,5.83248730964467,6.3125
415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,2614,0,0,0,100,0,80,Major Cities of Australia,7.703125,8.076923076923077
418,3070,0,0,0,100,0,20,Major Cities of Australia,7.368421052631579,8.5
419,2304,0,0,0,99.85,0,10,Major Cities of Australia,3.4782608695652173,3.142857142857143
420,3172,0,0,0,100,0,20,Major Cities of Australia,4.08955223880597,4.1
421,2350,95.01,0,0,0,4.99,12,Outer Regional Australia,5.232876712328767,3.3333333333333335
422,2170,0,0,0,100,0,10,Major Cities of Australia,3.7335766423357666,3.5
423,3698,86.11,0,0,0,13.89,22,Outer Regional Australia,6.5,6
424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,2335,0,0,0,0,100,11,Inner Regional Australia,6.071428571428571,4.8
426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,2296,0,0,0,100,0,10,Major Cities of Australia,4.705882352941177,4
428,3810,0,0,0,45.54,54.46,21,Inner Regional Australia,5.083333333333333,6.5
429,2480,0,0,0,0,100,11,Inner Regional Australia,4.248322147651007,3.7
430,2289,0,0,0,100,0,10,Major Cities of Australia,6.970588235294118,6.333333333333333
431,2340,78.87,0,0,0,21.13,12,Outer Regional Australia,4.608391608391608,3.25
432,4730,0,0,100,0,0,34,Very Remote Australia,4.777777777777778,4
433,3806,0,0,0,100,0,20,Major Cities of Australia,7.408759124087592,7.363636363636363
434,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
435,3561,0,0,0,0,100,21,Inner Regional Australia,4.478260869565218,3.6666666666666665
436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,5048,0,0,0,99.98,0,40,Major Cities of Australia,5.9787234042553195,6.5
438,2350,95.01,0,0,0,4.99,12,Outer Regional Australia,5.232876712328767,3.3333333333333335
439,3451,0,0,0,0,100,21,Inner Regional Australia,4.888888888888889,4.666666666666667
440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,3806,0,0,0,100,0,20,Major Cities of Australia,7.408759124087592,7.363636363636363
444,4560,0,0,0,28.26,71.74,31,Inner Regional Australia,4.90566037735849,5.555555555555555
445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,7325,99.99,0,0,0,0,62,Outer Regional Australia,3.4864864864864864,2.8
448,4105,0,0,0,100,0,30,Major Cities of Australia,7,7.5
449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,3000,0,0,0,100,0,20,Major Cities of Australia,4.931034482758621,6.625
451,3216,0,0,0,77.88,22.12,20,Major Cities of Australia,6.3106060606060606,6.714285714285714
452,3035,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,2350,95.01,0,0,0,4.99,12,Outer Regional Australia,5.232876712328767,3.3333333333333335
454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,3011,0,0,0,100,0,20,Major Cities of Australia,5.333333333333333,6.333333333333333
456,3073,0,0,0,100,0,20,Major Cities of Australia,3.576923076923077,3.3636363636363638
457,3021,0,0,0,100,0,20,Major Cities of Australia,1.7417218543046358,3.3076923076923075
458,2820,100,0,0,0,0,12,Outer Regional Australia,3.25,3.6666666666666665
459,7019,0,0,0,0,99.93,61,Inner Regional Australia,4.4,6
460,3996,0,0,0,0,99.98,21,Inner Regional Australia,5.95,4.25
461,4218,0,0,0,99.98,0,30,Major Cities of Australia,6.625,7
462,7000,0,0,0,0,99.86,61,Inner Regional Australia,6.5,7
463,6108,0,0,0,100,0,50,Major Cities of Australia,4.784810126582278,4.714285714285714
464,3055,0,0,0,100,0,20,Major Cities of Australia,6.88135593220339,7.5
465,3194,0,0,0,99.98,0,20,Major Cities of Australia,7.481481481481482,7.428571428571429
466,3212,0,0,0,27.48,72.47,21,Inner Regional Australia,5.7317073170731705,4
467,3031,0,0,0,100,0,20,Major Cities of Australia,6.533333333333333,5.857142857142857
468,3796,0,0,0,100,0,20,Major Cities of Australia,7.473684210526316,8
469,3020,0,0,0,100,0,20,Major Cities of Australia,1.8760330578512396,3.230769230769231
470,3217,0,0,0,45.01,54.99,21,Inner Regional Australia,6.9655172413793105,6.75
471,3058,0,0,0,100,0,20,Major Cities of Australia,5.474747474747475,6.083333333333333
472,4218,0,0,0,99.98,0,30,Major Cities of Australia,6.625,7
473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,3804,0,0,0,100,0,20,Major Cities of Australia,7.104166666666667,6.8
475,2010,0,0,0,100,0,10,Major Cities of Australia,7.404761904761905,7.166666666666667
476,3142,0,0,0,100,0,20,Major Cities of Australia,9.522727272727273,9
477,3024,0,0,0,54.62,45.38,20,Major Cities of Australia,4.8311688311688314,3.8333333333333335
478,2601,0,0,0,100,0,80,Major Cities of Australia,8.9,9
479,5422,100,0,0,0,0,42,Outer Regional Australia,3.272727272727273,2.75
480,2533,0,0,0,0.01,99.89,11,Inner Regional Australia,7.755102040816326,7.666666666666667
481,2731,88.30000000000001,0,0,0,11.7,12,Outer Regional Australia,5.142857142857143,4.166666666666667
482,3081,0,0,0,100,0,20,Major Cities of Australia,4.558139534883721,5.857142857142857
483,2064,0,0,0,100,0,10,Major Cities of Australia,8.348837209302326,9.4
484,3161,0,0,0,100,0,20,Major Cities of Australia,8.642857142857142,9.375
485,3446,0,0,0,0,100,21,Inner Regional Australia,6.363636363636363,5.333333333333333
486,3115,0,0,0,69.47,30.53,20,Major Cities of Australia,9.058823529411764,9.6
487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,3977,0,0,0,78.19,21.8,20,Major Cities of Australia,5.135371179039302,5.666666666666667
489,5422,100,0,0,0,0,42,Outer Regional Australia,3.272727272727273,2.75
490,3200,0,0,0,100,0,20,Major Cities of Australia,2.1538461538461537,4.5
491,2731,88.30000000000001,0,0,0,11.7,12,Outer Regional Australia,5.142857142857143,4.166666666666667
492,4405,62.45,0,0,0,37.55,32,Outer Regional Australia,4.233333333333333,2.5714285714285716
493,3121,0,0,0,100,0,20,Major Cities of Australia,8.392857142857142,8.125
494,3000,0,0,0,100,0,20,Major Cities of Australia,4.931034482758621,6.625
495,3201,0,0,0,100,0,20,Major Cities of Australia,4.75,5
496,2290,0,0,0,99.97,0,10,Major Cities of Australia,5.776859504132231,6.111111111111111
497,2480,0,0,0,0,100,11,Inner Regional Australia,4.248322147651007,3.7
498,5422,100,0,0,0,0,42,Outer Regional Australia,3.272727272727273,2.75
499,3084,0,0,0,100,0,20,Major Cities of Australia,8.506024096385541,7.875
500,2731,88.30000000000001,0,0,0,11.7,12,Outer Regional Australia,5.142857142857143,4.166666666666667
501,852,0,1.67,98.32,0,0,74,Very Remote Australia,2.509433962264151,1.4285714285714286
502,3191,0,0,0,99.76,0,20,Major Cities of Australia,9.181818181818182,9.333333333333334
503,2663,46.72,0,0,0,53.28,11,Inner Regional Australia,4.05,3.5
504,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,7250,0.01,0,0,0,99.97,61,Inner Regional Australia,4.8344370860927155,4.181818181818182
506,3058,0,0,0,100,0,20,Major Cities of Australia,5.474747474747475,6.083333333333333
507,3083,0,0,0,100,0,20,Major Cities of Australia,5.388349514563107,4.9
